Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,12,0,20.4,3,7.7,0.391,0.4,2.3,0.179,2.6,5.3,0.484,0.418,2.3,2.8,0.848,2,5,7,1.3,0.2,0.6,1.3,1.6,8.8
2,Steven Adams,C,29,MEM,14,14,26.1,2.9,4.8,0.612,0,0,,2.9,4.8,0.612,0.612,0.6,2.2,0.29,5,5.9,10.9,2.6,0.7,1.1,2.3,2.9,6.5
3,Bam Adebayo,C,25,MIA,14,14,35,7.4,14,0.531,0,0.4,0,7.4,13.6,0.545,0.531,4.2,4.9,0.855,2.4,6.7,9.1,3.4,1.2,0.8,3.6,3.4,19.1
4,Ochai Agbaji,SG,22,UTA,6,0,11.2,1.3,3.2,0.421,0,1,0,1.3,2.2,0.615,0.421,0.7,1.2,0.571,0.7,1,1.7,0.2,0,0,0,1,3.3
5,Santi Aldama,PF,22,MEM,15,14,27.5,3.7,8,0.467,1.2,3.6,0.333,2.5,4.4,0.576,0.542,1,1.6,0.625,1.8,4.5,6.3,0.9,0.9,1.1,0.7,2.8,9.7
6,Nickeil Alexander-Walker,SG,24,UTA,9,0,7.8,1,3,0.333,0.4,1.4,0.308,0.6,1.6,0.357,0.407,0.4,0.6,0.8,0,0.7,0.7,1.1,0.6,0.3,0.6,1.2,2.9
7,Grayson Allen,SG,27,MIL,12,11,25.4,2.9,7.1,0.412,1.9,4.5,0.426,1,2.6,0.387,0.547,2.3,2.5,0.933,0.8,1.9,2.7,2.5,0.8,0.3,1.6,1.6,10.1
8,Jarrett Allen,C,24,CLE,12,12,32.5,5.8,10.3,0.556,0,0.2,0,5.8,10.2,0.566,0.556,2.5,3.3,0.769,3.5,8,11.5,1.2,0.4,1.3,1.4,2.3,14
9,Jose Alvarado,PG,24,NOP,14,2,19,3.1,6.6,0.467,1.4,3.5,0.408,1.6,3.1,0.535,0.576,0.4,0.6,0.667,0.4,1.7,2.1,3,0.9,0.2,1.3,2.1,8
10,Kyle Anderson,PF,29,MIN,10,2,19.3,2.2,4,0.55,0.6,1.3,0.462,1.6,2.7,0.593,0.625,1.1,1.3,0.846,0.4,2.5,2.9,2.9,0.8,0.5,0.8,1.2,6.1
11,Giannis Antetokounmpo,PF,28,MIL,10,10,32.6,11.1,21.1,0.526,0.8,3.3,0.242,10.3,17.8,0.579,0.545,8.3,12.9,0.643,1.8,10,11.8,5.2,1.1,1.3,3.8,3.2,31.3
12,Thanasis Antetokounmpo,SF,30,MIL,7,0,2.7,0,0.1,0,0,0,,0,0.1,0,0,0,0,,0.1,0.6,0.7,0.1,0,0.1,0.1,0.3,0
13,Cole Anthony,PG,22,ORL,4,3,30.5,5.5,13.3,0.415,1.8,5,0.35,3.8,8.3,0.455,0.481,2.8,3.8,0.733,0.8,4,4.8,4.3,0.8,0.8,2,3.5,15.5
14,OG Anunoby,SF,25,TOR,15,15,35.5,6.4,13.9,0.459,1.8,5,0.36,4.6,8.9,0.515,0.524,2.7,3.3,0.82,1.4,4.7,6.1,1.9,2.7,1,2.3,3.3,17.3
15,Ryan Arcidiacono,PG,28,NYK,3,0,2,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0.7,0.7,0.3,0.3,0,0,0.3,0
16,Deni Avdija,SF,22,WAS,14,11,22.5,2.4,6.3,0.386,0.8,2.6,0.306,1.6,3.7,0.442,0.449,1.2,1.6,0.773,0.6,3.7,4.4,1.9,0.6,0.6,1.2,2.9,6.9
17,Deandre Ayton,C,24,PHO,11,11,27.3,6.5,11.4,0.576,0.3,0.7,0.375,6.3,10.6,0.59,0.588,1.3,1.7,0.737,2.7,5,7.7,1.5,0.6,0.5,2.2,3.4,14.6
18,Udoka Azubuike,C,23,UTA,5,0,4,1,1.2,0.833,0,0,,1,1.2,0.833,0.833,0,0,,0.4,1.4,1.8,0.2,0.4,0.4,0.4,0.2,2
19,Marvin Bagley III,PF,23,DET,2,1,23,4,8,0.5,0.5,1.5,0.333,3.5,6.5,0.538,0.531,1.5,1.5,1,2.5,2,4.5,0.5,0.5,1,1,1.5,10
20,Patrick Baldwin Jr.,SF,20,GSW,2,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
21,LaMelo Ball,PG,21,CHO,2,2,31,6,18,0.333,2.5,12,0.208,3.5,6,0.583,0.403,1.5,1.5,1,0,5,5,7.5,0.5,0.5,3.5,3.5,16
22,Mo Bamba,C,24,ORL,13,0,15.2,2.7,5.3,0.507,0.7,2.2,0.31,2,3.1,0.65,0.572,0.8,1.2,0.625,1.2,3,4.2,1,0.2,0.7,0.8,1.9,6.8
23,Paolo Banchero,PF,20,ORL,11,11,34.6,8.1,17.5,0.461,1,3.9,0.256,7.1,13.6,0.52,0.49,6.4,8.3,0.769,0.8,7.5,8.3,3.6,0.7,0.9,3,2.4,23.5
24,Desmond Bane,SG,24,MEM,12,12,33.6,8.3,17.8,0.465,3.8,8.5,0.451,4.4,9.3,0.477,0.573,4.3,4.8,0.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7
25,Dalano Banton,PG,23,TOR,14,1,10.5,2.4,5.1,0.458,0.8,2.2,0.355,1.6,2.9,0.537,0.535,1,1.1,0.875,0.4,0.9,1.4,1.1,0.6,0.7,0.7,1,6.5
26,Dominick Barlow,SF,19,SAS,1,0,10,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,0,1,1,3,0,0,0,2,2
27,Harrison Barnes,PF,30,SAC,13,13,31,3.5,8.2,0.43,0.8,3.4,0.25,2.7,4.8,0.556,0.481,3.4,4.1,0.83,1.2,4.2,5.3,2.2,0.8,0.2,1,1.5,11.3
28,Scottie Barnes,PF,21,TOR,14,14,32.1,5.4,12.6,0.432,1.2,3.7,0.327,4.2,8.9,0.476,0.48,1.3,1.8,0.72,1.8,4.7,6.5,4.9,0.9,0.7,2.1,1.6,13.4
29,RJ Barrett,SG,22,NYK,14,14,34.2,6.7,16.1,0.416,1.6,5.5,0.286,5.1,10.6,0.483,0.465,3.9,5.2,0.74,0.9,4.3,5.2,2.9,0.5,0.1,2.1,2.1,18.9
30,Will Barton,SG,32,WAS,14,0,23.9,3.4,8.7,0.385,1.4,4,0.339,2,4.7,0.424,0.463,1,1.1,0.933,0.4,3.1,3.5,2.5,0.6,0.3,1.3,1.2,9.1
31,Charles Bassey,C,22,SAS,6,0,17,2.7,4.2,0.64,0.3,0.8,0.4,2.3,3.3,0.7,0.68,0.8,1,0.833,2.7,4.7,7.3,1.8,0.5,1.8,1.7,3.2,6.5
32,Keita Bates-Diop,SF,27,SAS,14,3,14.5,2.9,5.6,0.513,0.4,1.4,0.316,2.4,4.2,0.576,0.551,1.1,1.4,0.842,1.4,1.4,2.8,0.6,0.6,0,1,0.5,7.3
33,Nicolas Batum,PF,34,LAC,15,1,18.3,1.7,3.7,0.464,1.2,2.8,0.429,0.5,0.9,0.571,0.625,0.5,0.9,0.615,0.8,3.3,4.1,1.3,0.5,0.9,0.9,2.5,5.2
34,Darius Bazley,PF,22,OKC,11,0,16.7,2.5,5.8,0.422,0.6,1.6,0.389,1.8,4.2,0.435,0.477,0.5,1,0.455,1.6,3.1,4.7,1.5,0.8,1.3,0.5,1.5,6
35,Bradley Beal,SG,29,WAS,9,9,35.1,8.2,15.9,0.517,1.4,4.4,0.325,6.8,11.4,0.592,0.563,3.7,4,0.917,0.7,2.9,3.6,5.7,0.9,0.8,2.7,2,21.6
36,Malik Beasley,SG,26,UTA,16,2,25.4,4.4,10.3,0.427,2.8,6.8,0.417,1.6,3.5,0.446,0.564,0.8,0.8,0.923,0.7,2.8,3.5,1.1,0.9,0.2,0.8,1.1,12.3
37,MarJon Beauchamp,SF,22,MIL,10,4,18.1,2.8,6.5,0.431,1.2,3.7,0.324,1.6,2.8,0.571,0.523,0.7,1,0.7,1,2.7,3.7,0.4,0.6,0.2,1.2,2.1,7.5
38,Patrick Beverley,PG,34,LAL,11,11,28.1,1.4,4.9,0.278,0.7,3.1,0.235,0.6,1.8,0.35,0.352,1.2,1.4,0.867,0.8,2.9,3.7,3,1.1,0.5,0.9,3.2,4.6
39,Saddiq Bey,SF,23,DET,15,14,31.6,4.8,11.5,0.416,1.7,5.5,0.301,3.1,6,0.522,0.488,4.4,4.8,0.917,1.1,3.5,4.7,1.5,0.9,0.2,1.4,1.7,15.7
40,Khem Birch,C,30,TOR,5,0,7.6,0.8,1.2,0.667,0.2,0.2,1,0.6,1,0.6,0.75,0.4,0.4,1,0.6,0.4,1,0.4,0.6,0.2,0.4,2,2.2
41,Goga Bitadze,C,23,IND,8,0,13.1,1.8,3.4,0.519,0.1,0.9,0.143,1.6,2.5,0.65,0.537,0.9,1.8,0.5,1.6,1.8,3.4,1.5,0.5,0.5,0.8,2.3,4.5
42,Bismack Biyombo,C,30,PHO,11,2,11.8,1.4,2.5,0.556,0,0,,1.4,2.5,0.556,0.556,0.5,0.8,0.667,0.7,2.5,3.3,0.5,0.2,1.7,0.6,1.8,3.3
43,Buddy Boeheim,PG,23,DET,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
44,Bojan Bogdanović,PF,33,DET,15,15,31.2,6.5,13.1,0.5,2.8,6.7,0.416,3.7,6.3,0.589,0.607,4.3,4.9,0.877,0.4,3.1,3.5,2.1,0.4,0,2.1,2,20.1
45,Bol Bol,PF,23,ORL,14,9,24,4.6,7.2,0.634,0.9,1.8,0.48,3.7,5.4,0.684,0.693,1.6,1.9,0.852,1.4,6.1,7.6,0.6,0.1,1.9,2.1,1.6,11.6
46,Leandro Bolmaro,SG,22,UTA,3,0,7,0.7,2.3,0.286,0,0.7,0,0.7,1.7,0.4,0.286,0,0,,0.3,0,0.3,0.7,0.7,0.3,0.7,1.3,1.3
47,Devin Booker,SG,26,PHO,13,13,36.8,9.5,20,0.477,2.3,6.2,0.375,7.2,13.8,0.522,0.535,5.2,6,0.859,1,3.8,4.8,5.5,1.2,0.5,2.7,2.5,26.5
48,Brandon Boston Jr.,SG,21,LAC,5,0,3.2,1,2,0.5,0.4,0.6,0.667,0.6,1.4,0.429,0.6,0.2,0.4,0.5,0.2,0.2,0.4,0,0,0,0,0.2,2.6
49,Chris Boucher,PF,30,TOR,12,0,22.3,4.3,8.5,0.51,1.2,3.3,0.35,3.2,5.2,0.613,0.578,2.3,3.1,0.73,2.2,3.3,5.4,0.7,0.9,1,1.1,3,12.1
50,James Bouknight,SG,22,CHO,15,0,18,2.2,6.5,0.337,0.8,3.5,0.231,1.4,3.1,0.457,0.398,0.7,1.1,0.625,0.3,2,2.3,1.4,0.4,0.3,1,1.6,5.9
51,Tony Bradley,C,25,CHI,4,0,2.5,0,0.3,0,0,0.3,0,0,0,,0,0.5,0.5,1,0.3,1,1.3,0,0,0,0,0,0.5
52,Malaki Branham,SF,19,SAS,4,2,19.5,2,7,0.286,0.8,3.8,0.2,1.3,3.3,0.385,0.339,1.3,1.5,0.833,0.5,1.8,2.3,2,0.3,0,0.8,0.8,6
53,Christian Braun,SG,21,DEN,12,0,15.7,1.6,3.3,0.475,0.5,1.3,0.375,1.1,2,0.542,0.55,0.3,0.5,0.667,0.6,1.6,2.2,1.2,0.5,0.2,0.4,0.9,4
54,Mikal Bridges,SF,26,PHO,13,13,36.8,6,10.9,0.549,1.2,2.8,0.432,4.8,8.1,0.59,0.606,2.4,2.7,0.886,1.2,3.9,5.2,3.1,1,1,1.2,2,15.6
55,Oshae Brissett,SF,24,IND,7,0,9.4,0.7,2.4,0.294,0.1,1.4,0.1,0.6,1,0.571,0.324,0.4,0.6,0.75,0.6,1,1.6,0.3,0.1,0,0.6,0.3,2
56,Malcolm Brogdon,PG,30,BOS,11,0,23,4.8,10.1,0.477,1.3,3.5,0.368,3.5,6.6,0.534,0.541,2.8,3.3,0.861,0.9,2.9,3.8,3.5,0.5,0.2,2,1.3,13.7
57,Dillon Brooks,SG,27,MEM,12,12,29.8,6,15.1,0.398,2.2,5.9,0.366,3.8,9.2,0.418,0.47,1.7,2.3,0.741,0.4,3,3.4,2,0.7,0.2,1.4,3.3,15.8
58,Bruce Brown,PG,26,DEN,13,3,27.7,3.9,8.7,0.451,1.2,3.2,0.39,2.7,5.5,0.486,0.522,0.9,1.2,0.8,1.2,2.7,3.9,4.2,0.8,0.5,1.5,1.8,10
59,Greg Brown III,PF,21,POR,4,0,5.5,1.3,1.8,0.714,0,0,,1.3,1.8,0.714,0.714,0,1.3,0,0,0.3,0.3,0,0.8,0.5,0.5,0.8,2.5
60,Jaylen Brown,SF,26,BOS,13,13,36.8,9.5,19.6,0.482,2.3,6.8,0.337,7.2,12.8,0.56,0.541,4.2,5,0.831,0.9,5.8,6.8,3.5,0.9,0.5,3.1,2.9,25.4
61,Moses Brown,C,23,LAC,8,0,4,1.3,1.6,0.769,0,0,,1.3,1.6,0.769,0.769,0.5,0.9,0.571,0.6,1,1.6,0,0,0.5,0,0.5,3
62,Troy Brown Jr.,SF,23,LAL,11,9,27.5,3.7,8.4,0.446,1.3,3.9,0.326,2.5,4.5,0.551,0.522,0.7,0.7,1,0.9,4.2,5.1,0.8,0.8,0,0.9,2,9.5
63,Jalen Brunson,PG,26,NYK,14,14,32.9,7.4,14.9,0.493,1.1,3.9,0.291,6.2,11,0.565,0.531,4.1,4.6,0.877,0.4,3.1,3.5,6.9,1.3,0.1,1.8,2.6,19.9
64,Reggie Bullock,SF,31,DAL,13,13,28.8,1.8,5.5,0.319,1.5,4.5,0.322,0.3,1,0.308,0.451,0.3,0.5,0.571,0.5,2.5,2.9,1,1.1,0.2,0.5,2.9,5.3
65,Alec Burks,SG,31,DET,2,0,21,5,9.5,0.526,1.5,4,0.375,3.5,5.5,0.636,0.605,4.5,6.5,0.692,0,2,2,1.5,0.5,0,0.5,3,16
66,Jimmy Butler,SF,33,MIA,12,12,35.5,6.8,14,0.482,0.9,2.4,0.379,5.8,11.6,0.504,0.515,7.2,8,0.896,2.2,4.9,7.1,6.2,1.8,0.3,1.4,1.6,21.6
67,John Butler,C,20,POR,1,0,9,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,1,1,0,0,1,0,0,2
68,Jamal Cain,SF,23,MIA,1,0,2,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,1,0,0,0,3
69,Kentavious Caldwell-Pope,SG,29,DEN,12,12,31,4.2,8.3,0.5,2.5,4.6,0.545,1.7,3.8,0.444,0.65,1,1.3,0.75,0.3,3.3,3.6,2.7,1.5,0.3,1.3,2,11.8
70,Facundo Campazzo,PG,31,DAL,3,0,5.3,0.3,1.3,0.25,0.3,1,0.333,0,0.3,0,0.375,0,0,,0,0,0,1,1,0,0,0.3,1
71,Vlatko Čančar,PF,25,DEN,6,0,2.7,0.3,0.7,0.5,0.3,0.5,0.667,0,0.2,0,0.75,0,0,,0,0.3,0.3,0,0,0,0.2,0.2,1
72,Clint Capela,C,28,ATL,14,14,27.4,5.1,8.5,0.605,0,0,,5.1,8.5,0.605,0.605,1.1,2,0.536,4.4,7.4,11.9,0.7,0.6,1.5,1.1,1.9,11.4
73,Vernon Carey Jr.,C,21,WAS,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0.5,0
74,Jevon Carter,PG,27,MIL,13,13,27.2,3.5,8.2,0.421,1.7,4.2,0.4,1.8,4,0.442,0.523,0.8,0.9,0.833,0.8,1.7,2.5,3.3,1.6,0.7,1.5,3.1,9.4
75,Wendell Carter Jr.,C,23,ORL,14,14,32.8,5.6,10.9,0.51,1.2,3.3,0.37,4.4,7.6,0.57,0.565,3.9,4.8,0.821,2.3,6.9,9.1,3.1,0.6,0.6,2.4,3.1,16.3
76,Alex Caruso,PG,28,CHI,14,5,25.2,1.3,4,0.321,0.7,2.4,0.303,0.6,1.6,0.348,0.411,1.1,1.4,0.75,0.6,2.7,3.3,3.8,1.6,1,1.9,2,4.4
77,Justin Champagnie,SF,21,TOR,2,0,4.5,1.5,1.5,1,0,0,,1.5,1.5,1,1,0,0,,0.5,1,1.5,0,0,0,0,0.5,3
78,Kennedy Chandler,PG,20,MEM,6,0,9.7,1,3.2,0.316,0.2,1,0.167,0.8,2.2,0.385,0.342,0.2,0.7,0.25,0.2,0.8,1,2,0.3,0.3,1,0.5,2.3
79,Max Christie,SG,19,LAL,8,0,11.5,1,2.1,0.471,0.8,1.4,0.545,0.3,0.8,0.333,0.647,0.4,0.5,0.75,0.1,2.5,2.6,0.5,0.4,0,0.3,0.5,3.1
80,Josh Christopher,SG,21,HOU,10,0,8.5,1.4,3.7,0.378,0.3,1.4,0.214,1.1,2.3,0.478,0.419,0.1,0.2,0.5,0.4,1.1,1.5,0.7,0.3,0,0.8,1,3.2
81,Brandon Clarke,PF,26,MEM,15,1,19.1,4,6.5,0.619,0.1,0.4,0.167,3.9,6.1,0.648,0.624,1.9,2.6,0.744,1.1,3.3,4.5,1.5,0.3,1,1.3,2.5,10
82,Jordan Clarkson,SG,30,UTA,16,16,30.6,6.5,15.4,0.421,3.1,8,0.383,3.4,7.4,0.462,0.52,1.9,2.3,0.811,1.4,2.7,4.1,4.8,0.3,0.5,2.5,1.9,17.9
83,Nic Claxton,C,23,BRK,15,15,26.8,5.3,7.3,0.718,0,0.1,0,5.3,7.3,0.725,0.718,1,2.7,0.375,2.7,5.8,8.5,1.2,0.7,1.9,1.5,2.7,11.5
84,Amir Coffey,SG,25,LAC,13,0,9,0.5,1.5,0.316,0.1,0.3,0.25,0.4,1.2,0.333,0.342,1.2,1.4,0.833,0.2,0.5,0.7,0.6,0.2,0.1,0.3,0.9,2.2
85,John Collins,PF,25,ATL,14,14,31.6,4.9,9.9,0.493,0.7,2.9,0.244,4.1,6.9,0.598,0.529,2.2,2.4,0.939,1.6,6.4,8,1,0.7,1.3,1.4,3.3,12.6
86,Zach Collins,PF,25,SAS,9,0,17.7,3.4,6.6,0.525,0.8,2,0.389,2.7,4.6,0.585,0.585,0.7,1,0.667,1.3,3.3,4.7,2.8,0.7,1.2,1.9,3,8.3
87,Mike Conley,PG,35,UTA,15,15,30.5,3.6,9.2,0.391,1.9,5.2,0.359,1.7,4,0.433,0.493,1.7,2.1,0.781,0.4,2,2.4,8.1,1.2,0.3,1.5,1.9,10.7
88,Robert Covington,PF,32,LAC,9,0,13.8,1.2,3,0.407,0.8,2.1,0.368,0.4,0.9,0.5,0.537,0.8,0.9,0.875,0.2,3,3.2,1,0.3,0.7,0.8,2.2,4
89,Torrey Craig,SF,32,PHO,13,5,20.2,2.3,5,0.462,1.1,2.8,0.389,1.2,2.2,0.552,0.569,0.4,0.6,0.625,1.8,2.4,4.2,1.4,0.5,0.5,0.7,2.1,6.1
90,Jarrett Culver,SG,23,ATL,2,0,1.5,0,0.5,0,0,0,,0,0.5,0,0,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0.5
91,Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3,3.6,0.837,1,5.2,6.2,6,0.8,0.6,3.3,2.8,19.9
92,Seth Curry,SG,32,BRK,6,0,20,3.3,7.7,0.435,2,4.8,0.414,1.3,2.8,0.471,0.565,1,1.2,0.857,0.2,1.7,1.8,2.3,0.5,0.2,0.5,1.8,9.7
93,Stephen Curry,PG,34,GSW,13,13,34.5,10.5,20.2,0.523,5,11.5,0.433,5.5,8.6,0.643,0.647,5.4,5.8,0.921,0.7,5.9,6.6,6.4,1.1,0.1,2.5,2,31.5
94,Dyson Daniels,PG,19,NOP,6,0,10.7,1.3,2.8,0.471,0.7,1.3,0.5,0.7,1.5,0.444,0.588,0.7,1,0.667,0.7,2.7,3.3,1.2,0.7,0.5,0.5,0.8,4
95,Anthony Davis,C,29,LAL,12,12,34.5,9.7,17.8,0.542,0.3,1.3,0.25,9.3,16.5,0.566,0.551,4.6,5.8,0.786,3.6,7.6,11.2,2.5,1.3,1.8,1.6,3.1,24.3
96,Johnny Davis,SG,20,WAS,5,0,6,0.4,1.4,0.286,0,0.2,0,0.4,1.2,0.333,0.286,0.4,0.4,1,0.2,0.6,0.8,0.4,0,0,0.2,1.6,1.2
97,Terence Davis,SG,25,SAC,12,0,13.8,2.9,5.8,0.507,1.6,3.8,0.413,1.3,1.9,0.696,0.645,1,1.2,0.857,0.4,2.6,3,1.5,0.8,0.3,0.4,1.8,8.4
98,JD Davison,PG,20,BOS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0
99,Dewayne Dedmon,C,33,MIA,12,0,12.1,2.3,4.1,0.571,0.6,1.3,0.438,1.8,2.8,0.636,0.643,1.1,1.3,0.813,1,2.4,3.4,0.7,0.1,0.4,0.5,2,6.3
100,Matthew Dellavedova,PG,32,SAC,4,0,9,0.8,2.3,0.333,0.5,0.8,0.667,0.3,1.5,0.167,0.444,0,0,,0.3,0.3,0.5,2,0.5,0,0.8,1.3,2
101,DeMar DeRozan,SF,33,CHI,14,14,33.8,8.1,16,0.509,0.3,1.4,0.2,7.9,14.6,0.539,0.518,7.3,8.2,0.887,0.4,3.6,3.9,4.2,1.1,0.4,2.3,2.6,23.9
102,Moussa Diabaté,PF,21,LAC,2,0,3,0.5,0.5,1,0,0,,0.5,0.5,1,1,0.5,0.5,1,0,1,1,0.5,0.5,0,0,0,1.5
103,Mamadi Diakite,PF,26,CLE,3,0,2.7,0.3,1,0.333,0,0.7,0,0.3,0.3,1,0.333,0,0,,0,0.7,0.7,0,0.3,0,0,0.7,0.7
104,Hamidou Diallo,SG,24,DET,15,0,14,2.1,5.1,0.403,0.1,0.5,0.125,2,4.6,0.435,0.409,1.6,2.3,0.686,1.1,1.7,2.9,0.7,0.5,0.1,0.7,2.1,5.8
105,Gorgui Dieng,C,33,SAS,7,0,9.1,1.3,3,0.429,0.9,2.4,0.353,0.4,0.6,0.75,0.571,0.4,0.6,0.75,0.9,1.3,2.1,1.7,0.1,0.6,1,1.3,3.9
106,Ousmane Dieng,SF,19,OKC,9,0,15,1.3,4,0.333,0.6,2.4,0.227,0.8,1.6,0.5,0.403,0.1,0.2,0.5,0.3,1.9,2.2,1.7,0.1,0.2,0.3,0.6,3.3
107,Spencer Dinwiddie,PG,29,DAL,13,13,33.7,6.7,13.8,0.483,3.2,7.2,0.441,3.5,6.7,0.529,0.597,1.8,2.2,0.793,0.3,3.2,3.5,4.8,1.2,0.2,1.8,2.5,18.3
108,Donte DiVincenzo,SG,26,GSW,6,0,15,1.3,3,0.444,0.7,2,0.333,0.7,1,0.667,0.556,0.8,1,0.833,0,1.3,1.3,1.7,0.3,0,1.8,1.8,4.2
109,Luka Dončić,PG,23,DAL,13,13,37.2,11.6,23.4,0.497,2.3,7.9,0.291,9.3,15.5,0.602,0.546,8.8,11.5,0.767,1.1,7.8,8.8,7.8,2.1,0.6,3.2,3.2,34.4
110,Tyler Dorsey,SG,26,DAL,1,0,4,4,4,1,1,1,1,3,3,1,1.125,0,0,,1,1,2,0,0,0,0,0,9
111,Luguentz Dort,SG,23,OKC,14,14,30.6,4.9,12.6,0.392,1.5,5.6,0.266,3.4,6.9,0.495,0.452,2.7,3.5,0.776,1.4,2.9,4.4,2.3,1.4,0.3,1.1,3.4,14.1
112,Ayo Dosunmu,PG,23,CHI,13,13,30.3,4.7,9.6,0.488,1.4,3.9,0.353,3.3,5.7,0.581,0.56,0.9,1,0.923,0.5,3.4,3.8,3.2,0.8,0.3,1.7,2.5,11.7
113,Jeff Dowtin,PG,25,TOR,3,0,7.7,1.3,2.3,0.571,0,0.3,0,1.3,2,0.667,0.571,0,0,,0.7,1,1.7,1.3,0,0.3,0.3,0.7,2.7
114,Goran Dragić,PG,36,CHI,14,0,19.3,3.8,8.3,0.457,1.6,3.4,0.468,2.2,4.9,0.449,0.552,0.9,1.2,0.765,0.6,1.3,1.9,3.6,0.3,0.2,1.4,1.4,10.1
