Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
342,Dwight Powell,C,31,DAL,10,6,18.8,2.4,3.9,0.615,0,0.1,0,2.4,3.8,0.632,0.615,1.2,1.6,0.75,1.7,1.9,3.6,0.7,0.7,0.4,0.7,2.3,6
343,Norman Powell,SG,29,LAC,15,5,24.7,4.1,9.9,0.416,1.1,3.8,0.281,3.1,6.1,0.5,0.47,2.5,3.1,0.787,0.3,2.3,2.7,1.4,0.9,0.3,1.9,1.9,11.8
344,Jason Preston,PG,23,LAC,1,0,3,0,1,0,0,1,0,0,0,,0,0,2,0,0,0,0,0,0,0,0,0,0
345,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,0.346,0.8,3,0.25,1.5,3.5,0.429,0.404,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2,7
346,Taurean Prince,SF,28,MIN,14,0,19.9,2.9,5.9,0.5,1.4,3.2,0.422,1.6,2.6,0.595,0.616,1.1,1.2,0.941,0.4,2.1,2.6,1.1,0.3,0.2,0.9,2.5,8.4
347,Payton Pritchard,PG,25,BOS,7,0,10.6,2.1,4.7,0.455,0.7,2.1,0.333,1.4,2.6,0.556,0.53,0.3,0.6,0.5,1.1,1,2.1,1.1,0.4,0,1.3,0.4,5.3
348,Immanuel Quickley,PG,23,NYK,14,0,21.7,3.1,8.3,0.379,1.2,4,0.304,1.9,4.3,0.45,0.453,1.6,1.9,0.815,0.6,4.2,4.8,3.1,1.4,0.1,1.3,2,9.1
349,Julius Randle,PF,28,NYK,14,14,33.3,6.8,14.8,0.459,1.9,5.8,0.333,4.9,9,0.54,0.524,4.9,6.4,0.767,2.4,6.4,8.8,3.2,0.6,0.3,3.1,3.5,20.4
350,Austin Reaves,SG,24,LAL,13,4,26.9,2.6,5.5,0.479,1,2.8,0.361,1.6,2.7,0.6,0.57,2.2,2.5,0.879,0.7,2.5,3.2,1.6,0.5,0.3,1.1,1.2,8.5
351,Cam Reddish,SF,23,NYK,14,6,22.1,3.4,7.6,0.453,1.1,3.1,0.341,2.4,4.4,0.532,0.524,1.1,1.3,0.889,0.3,1.5,1.8,1.1,0.7,0.5,0.8,1.6,9.1
352,Davon Reed,SG,27,DEN,9,0,5.8,0.6,1.7,0.333,0.4,0.8,0.571,0.1,0.9,0.125,0.467,0.1,0.2,0.5,0,0.4,0.4,0.1,0.3,0,0.9,0.6,1.7
353,Paul Reed,C,23,PHI,11,0,7.2,0.3,1.2,0.231,0,0.2,0,0.3,1,0.273,0.231,0,0,,0.5,1.2,1.6,0.1,1,0.5,0.3,1.8,0.5
354,Naz Reid,C,23,MIN,9,0,13.1,3.4,5.9,0.585,0.7,2.2,0.3,2.8,3.7,0.758,0.642,0.9,1.3,0.667,0.7,2,2.7,0.3,0.4,0.8,0.8,1.9,8.4
355,Nick Richards,C,25,CHO,15,0,19.1,3.7,5.7,0.647,0,0,,3.7,5.7,0.647,0.647,2.5,3.3,0.74,2.8,3.1,5.9,0.8,0.1,0.8,0.8,2.2,9.8
356,Josh Richardson,SG,29,SAS,14,2,23.4,3.5,8.7,0.402,1.8,5,0.357,1.7,3.7,0.462,0.504,1.9,2.2,0.839,0.3,2,2.3,3.1,0.6,0.1,1.9,2,10.6
357,Austin Rivers,SG,30,MIN,7,0,6.3,0.3,1.3,0.222,0.1,0.7,0.2,0.1,0.6,0.25,0.278,0.6,0.6,1,0,0.6,0.6,0.3,0,0.1,0.1,0.1,1.3
358,Duncan Robinson,SF,28,MIA,14,0,17.6,2.3,6.5,0.352,1.5,4.9,0.309,0.8,1.6,0.478,0.467,0.6,0.7,0.9,0.2,2,2.2,1.3,0.1,0,0.5,1.7,6.7
359,Mitchell Robinson,C,24,NYK,8,8,21.8,2.9,4.1,0.697,0,0,,2.9,4.1,0.697,0.697,0.8,1.8,0.429,3.5,2.9,6.4,1,0.4,2.3,0.6,3.6,6.5
360,Jeremiah Robinson-Earl,PF,22,OKC,13,10,17.9,3.1,6,0.513,1.3,3,0.436,1.8,3,0.59,0.622,0.5,0.8,0.636,1.2,2.8,4,0.7,0.8,0.3,0.5,2.1,8
361,Isaiah Roby,PF,24,SAS,10,0,10.2,1.4,3.4,0.412,0.3,1.2,0.25,1.1,2.2,0.5,0.456,0.4,1.1,0.364,0.4,1.7,2.1,1.2,0.5,0.3,0.4,0.8,3.5
362,David Roddy,PF,21,MEM,15,0,17.7,2.1,5.7,0.372,0.8,3.1,0.261,1.3,2.7,0.5,0.442,0.5,0.7,0.7,0.8,1.8,2.6,0.7,0.5,0.3,0.5,1.5,5.5
363,Ryan Rollins,PG,20,GSW,5,0,4.2,0.8,1.6,0.5,0.4,0.6,0.667,0.4,1,0.4,0.625,0.4,0.4,1,0,0.6,0.6,0.4,0,0,1.4,1.2,2.4
364,Derrick Rose,PG,34,NYK,14,0,13.3,2.4,6.2,0.391,0.9,2.5,0.343,1.6,3.7,0.423,0.46,0.5,0.5,1,0.3,1.5,1.8,2.2,0.4,0.1,1.1,0.6,6.2
365,Terrence Ross,SG,31,ORL,13,8,26.4,3.7,8.3,0.444,1.8,4.3,0.411,1.9,4,0.481,0.551,0.5,0.7,0.667,0.5,2.2,2.7,1.5,0.6,0.2,1.2,2.2,9.6
366,Terry Rozier,PG,28,CHO,8,8,35.8,8,20.9,0.383,3.3,9.8,0.333,4.8,11.1,0.427,0.461,2,2.4,0.842,1.5,3.6,5.1,5.1,0.6,0.4,2.3,1.4,21.3
367,D'Angelo Russell,PG,26,MIN,14,14,30.1,5.1,12.5,0.411,1.9,5.9,0.329,3.2,6.6,0.484,0.489,2.2,3,0.738,0.8,2.6,3.4,6.2,1.3,0.6,3,2,14.4
368,Matt Ryan,SF,25,LAL,10,0,12.2,1.5,4.4,0.341,1.3,3.1,0.419,0.2,1.3,0.154,0.489,0.4,0.5,0.8,0.2,1.1,1.3,0.3,0.2,0,0.3,1.4,4.7
369,Domantas Sabonis,PF,26,SAC,13,13,31.7,6.5,11.2,0.575,0.2,1.1,0.214,6.2,10.2,0.614,0.586,4.7,6.5,0.726,2.5,8.5,11,6.3,0.9,0.5,2.3,3.9,17.8
370,Dario Šarić,PF,28,PHO,7,0,9,1,3.3,0.304,0.3,1.3,0.222,0.7,2,0.357,0.348,0.1,0.3,0.5,1.3,1.6,2.9,0.9,0.4,0,0.4,1.1,2.4
371,Jordan Schakel,SF,24,WAS,2,0,3,0.5,1,0.5,0.5,0.5,1,0,0.5,0,0.75,0,0,,0,0,0,0.5,0.5,0,0,0.5,1.5
372,Admiral Schofield,PF,25,ORL,5,0,6.4,0.6,1.2,0.5,0.4,1,0.4,0.2,0.2,1,0.667,0,0,,0,1,1,0,0,0,0,1,1.6
373,Dereon Seabron,SG,22,NOP,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
374,Alperen Şengün,C,20,HOU,12,9,26.5,5.8,10.2,0.574,0.3,1.3,0.2,5.6,8.9,0.626,0.586,4.2,5.3,0.781,3.5,5.2,8.7,1.9,0.7,0.9,2.1,3.5,16.1
375,Collin Sexton,SG,24,UTA,16,1,21.8,4.5,9.7,0.465,1.1,2.9,0.37,3.4,6.8,0.505,0.519,3.3,4.1,0.8,0.9,1.9,2.8,1.9,0.7,0.1,1.6,2.2,13.3
376,Landry Shamet,SG,25,PHO,9,0,16.2,2.2,5.6,0.4,1.3,3.7,0.364,0.9,1.9,0.471,0.52,1.2,1.4,0.846,0.2,0.4,0.7,1.2,0.6,0.1,0.9,1.3,7
377,Day'Ron Sharpe,C,21,BRK,11,0,9.2,1,2.3,0.44,0.1,0.2,0.5,0.9,2.1,0.435,0.46,0.7,1.1,0.667,0.9,2.3,3.2,0.8,0.3,0.5,0.7,2,2.8
378,Shaedon Sharpe,SG,19,POR,13,4,21,3.8,7.1,0.533,1.1,2.3,0.467,2.7,4.8,0.565,0.609,0.7,1,0.692,0.8,1.8,2.5,0.4,0.3,0.3,0.7,2.1,9.3
379,Pascal Siakam,C,28,TOR,9,9,35.7,8.9,18.6,0.479,1.4,4.2,0.342,7.4,14.3,0.519,0.518,5.6,7.7,0.725,1.8,7.6,9.3,7.7,0.9,0.6,2.7,3.1,24.8
380,Ben Simmons,PG,26,BRK,10,6,26.6,2.5,5.2,0.481,0,0.1,0,2.5,5.1,0.49,0.481,0.8,1.7,0.471,1,5.1,6.1,5.6,1.1,0.5,2.2,3.7,5.8
381,Marko Simonovic,C,23,CHI,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
382,Anfernee Simons,SG,23,POR,12,12,35.9,7.7,18.2,0.422,3.9,10.4,0.376,3.8,7.8,0.484,0.53,3.1,3.6,0.86,0.4,2.6,3,3.9,0.8,0.2,2.3,2.2,22.3
383,Jericho Sims,C,24,NYK,9,2,12.4,1.8,2,0.889,0,0,,1.8,2,0.889,0.889,0.2,0.3,0.667,2,2.1,4.1,0.3,0.2,0.7,0.2,2.2,3.8
384,Marcus Smart,PG,28,BOS,14,14,32.7,4.1,9.7,0.419,1.5,5.1,0.292,2.6,4.6,0.563,0.496,1.7,2.1,0.828,0.3,2.9,3.2,7.1,1.1,0.3,1.6,3.1,11.4
385,Dennis Smith Jr.,PG,25,CHO,13,11,29.5,4.5,9.6,0.464,0.8,2.2,0.357,3.7,7.5,0.495,0.504,0.5,0.8,0.545,0.7,2.9,3.6,6.2,1.9,0.6,1.6,2.5,10.2
386,Dru Smith,SG,25,MIA,1,0,6,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,0,1,1,0,1,0,0,1,2
387,Ish Smith,PG,34,DEN,5,0,4.6,0.4,1.6,0.25,0,0.2,0,0.4,1.4,0.286,0.25,0,0,,0,0.4,0.4,0.4,0,0.2,0.8,0.8,0.8
388,Jabari Smith Jr.,PF,19,HOU,13,13,29.5,3.3,10.5,0.316,1.7,5.7,0.297,1.6,4.8,0.339,0.397,1.8,2.2,0.821,1.5,5.2,6.7,0.8,0.4,1,1.2,3.6,10.1
389,Jalen Smith,PF,22,IND,12,12,23.8,4.2,9.4,0.442,1.3,4.1,0.327,2.8,5.3,0.531,0.513,1.3,2,0.667,1.8,5.8,7.6,1.1,0.2,0.8,1.6,2.3,11
390,Jeremy Sochan,PF,19,SAS,14,14,24.1,3.2,6.6,0.484,0.4,2.4,0.182,2.8,4.3,0.65,0.516,0.6,0.9,0.667,1.1,2.9,4,1.6,0.9,0.6,1.1,2.6,7.4
391,Jaden Springer,PG,20,PHI,2,0,2,1,1.5,0.667,0,0,,1,1.5,0.667,0.667,0.5,1,0.5,0.5,0.5,1,0,0,0.5,0,0.5,2.5
392,Lamar Stevens,PF,25,CLE,4,1,13.3,1.8,3.8,0.467,0,0.5,0,1.8,3.3,0.538,0.467,1.8,2,0.875,0.5,1.3,1.8,0.3,0,0.3,0.3,1.5,5.3
393,Isaiah Stewart,C,21,DET,15,15,27.1,3.8,8,0.475,1.2,3.6,0.333,2.6,4.4,0.591,0.55,3.2,4.3,0.738,2.9,6.5,9.3,1.3,0.5,0.7,1.1,3,12
394,Max Strus,SF,26,MIA,14,7,32.9,5.4,11.8,0.455,3,7.9,0.378,2.4,3.9,0.611,0.582,1,1.2,0.824,0.7,3.1,3.9,1.9,0.8,0.4,1,2.6,14.7
395,Jalen Suggs,PG,21,ORL,9,8,29,4.4,10.6,0.421,1.1,4.3,0.256,3.3,6.2,0.536,0.474,1.8,2.9,0.615,0.7,2.3,3,5.1,1.7,0.4,3.3,3.9,11.8
396,Edmond Sumner,SG,27,BRK,13,7,17.6,2.8,6.5,0.429,0.8,2.6,0.294,2,3.8,0.52,0.488,2.3,2.4,0.968,0.3,1.5,1.8,1.5,1.1,0.3,1.3,1.5,8.6
397,Cole Swider,SF,23,LAL,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,1,0,0,0,0,0
398,Jae'Sean Tate,SF,27,HOU,3,2,22.7,3.3,6.7,0.5,0.7,1.7,0.4,2.7,5,0.533,0.55,1,1.3,0.75,2.7,1.7,4.3,3.3,1,0,1.7,5,8.3
399,Jayson Tatum,PF,24,BOS,14,14,37.5,10.3,20.9,0.491,3.5,9.5,0.368,6.8,11.4,0.594,0.575,7.9,9.1,0.866,0.8,6.6,7.4,3.9,0.9,1.4,2.4,2.2,31.9
400,Terry Taylor,SG,23,IND,8,2,11.8,0.9,2.6,0.333,0.3,1,0.25,0.6,1.6,0.385,0.381,0.4,0.5,0.75,0.8,1.1,1.9,0.6,0.3,0.5,0.1,1.1,2.4
401,Garrett Temple,SG,36,NOP,2,0,10.5,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,0.5,0.5,0.5,0.5,0,0,1,3
402,Dalen Terry,SG,20,CHI,8,0,3.5,0.4,1.3,0.3,0.1,0.4,0.333,0.3,0.9,0.286,0.35,0.3,0.3,1,0,0.3,0.3,0.5,0.1,0.3,0.5,0.3,1.1
403,Cam Thomas,SG,21,BRK,10,0,19.5,2.9,7.2,0.403,0.6,1.7,0.353,2.3,5.5,0.418,0.444,3.2,3.8,0.842,0.1,1.7,1.8,2.3,0.8,0.2,1,1,9.6
404,Klay Thompson,SG,32,GSW,11,11,28.5,5.4,15.3,0.351,3.2,9.6,0.33,2.2,5.6,0.387,0.455,0.8,1.1,0.75,0.3,3.1,3.4,2.5,0.5,0.5,1.6,1.7,14.7
405,JT Thor,PF,20,CHO,13,0,11,0.9,2.9,0.316,0.3,1.5,0.2,0.6,1.4,0.444,0.368,0.5,0.7,0.778,0.6,1.5,2.2,0.6,0.2,0.4,0.7,0.5,2.7
406,Matisse Thybulle,SG,25,PHI,13,3,13.1,0.6,2.1,0.296,0.2,1.2,0.188,0.4,0.8,0.455,0.352,0.1,0.2,0.333,0.3,1.2,1.5,0.6,1,0.4,0.2,1.3,1.5
407,Xavier Tillman Sr.,PF,24,MEM,8,0,11.4,1.5,2.9,0.522,0.1,0.5,0.25,1.4,2.4,0.579,0.543,0.4,1.1,0.333,1.4,1.5,2.9,0.8,0,0.3,0.9,1,3.5
408,Isaiah Todd,PF,21,WAS,3,0,3,0.3,1,0.333,0,0.7,0,0.3,0.3,1,0.333,0,0,,0,0,0,0,0,0,0,0,0.7
409,Obi Toppin,PF,24,NYK,14,0,17.8,3.8,7.7,0.491,1.8,4.2,0.424,2,3.5,0.571,0.606,0.6,0.6,1,0.9,3.2,4.1,1.3,0.6,0.2,1,0.9,10
410,Juan Toscano-Anderson,SF,29,LAL,10,0,12.3,1,2.5,0.4,0.2,1.1,0.182,0.8,1.4,0.571,0.44,0.4,0.5,0.8,0.1,2,2.1,0.5,0.3,0.3,0.8,1.7,2.6
411,Karl-Anthony Towns,PF,27,MIN,14,14,34.3,7.6,14.7,0.515,2.1,5.6,0.367,5.5,9.1,0.606,0.585,4.1,4.6,0.891,1.9,7.4,9.3,5.2,0.6,0.6,2.9,3.9,21.3
412,Gary Trent Jr.,SG,24,TOR,14,14,32,5.8,13.9,0.415,2.2,6.8,0.326,3.6,7.1,0.5,0.495,2.8,3.6,0.78,0.7,1.2,1.9,1.4,1.4,0.2,1,1.3,16.6
413,P.J. Tucker,PF,37,PHI,14,14,28.4,1.9,3.4,0.574,0.8,1.7,0.458,1.1,1.6,0.696,0.691,0.2,0.3,0.75,1.3,3.1,4.4,0.8,0.6,0.5,1.1,2.6,4.9
414,Myles Turner,C,26,IND,7,7,28.3,5.4,10.7,0.507,1.4,3.9,0.37,4,6.9,0.583,0.573,5.6,6.6,0.848,1.6,7.1,8.7,1.4,0.3,3.1,1.9,3.7,17.9
415,Jonas Valančiūnas,C,30,NOP,14,14,23.6,4.7,9.5,0.496,0.4,1.2,0.353,4.3,8.3,0.517,0.519,3.1,3.7,0.846,3.1,6.4,9.6,2.1,0.5,0.3,1.5,2.3,13
416,Jarred Vanderbilt,PF,23,UTA,14,14,24.9,3.4,5.9,0.578,0.5,1.1,0.438,2.9,4.8,0.612,0.62,0.8,1.4,0.579,2.4,5.9,8.3,2.6,1.3,0.4,1.7,3.5,8.1
417,Fred VanVleet,PG,28,TOR,10,10,36.5,6,14.7,0.408,3.5,8.3,0.422,2.5,6.4,0.391,0.527,2.9,3.5,0.829,0.6,3.1,3.7,6.8,2.3,0.7,1.4,2.4,18.4
418,Devin Vassell,SG,22,SAS,11,9,31.3,7.3,15.9,0.457,3.1,7.4,0.42,4.2,8.5,0.489,0.554,2,2.5,0.786,0.1,3.8,3.9,3.4,0.8,0.5,1.5,1.3,19.6
419,Gabe Vincent,PG,26,MIA,14,0,25.9,3.4,8.5,0.403,1.5,4.7,0.318,1.9,3.8,0.509,0.492,1.4,1.7,0.833,0.3,2,2.3,3,0.9,0.1,1.4,2.6,9.8
420,Noah Vonleh,C,27,BOS,12,1,10.6,0.8,1.6,0.526,0.1,0.2,0.5,0.8,1.4,0.529,0.553,0.2,0.2,1,1.3,1.7,3,0.3,0.2,0.5,0.8,2.3,1.9
421,Nikola Vučević,C,32,CHI,14,14,31.1,6,12.8,0.469,1.7,4.4,0.393,4.3,8.4,0.508,0.536,2.3,2.5,0.914,2.6,8.9,11.5,2.9,0.2,0.8,2.4,2.4,16
422,Dean Wade,PF,26,CLE,11,4,22.8,2.5,4.6,0.529,1.6,3.3,0.5,0.8,1.4,0.6,0.706,0.7,1,0.727,0.5,2.8,3.3,1,0.5,0.4,0.4,2.5,7.3
423,Franz Wagner,SF,21,ORL,14,14,34.1,7.5,15.2,0.493,0.9,3.8,0.245,6.6,11.4,0.575,0.523,2.7,3.1,0.864,1.1,3.1,4.1,4.4,0.8,0.3,2.8,2.2,18.6
424,Jabari Walker,SF,20,POR,8,0,9,1.1,2.1,0.529,0.1,0.6,0.2,1,1.5,0.667,0.559,0.5,0.8,0.667,0.6,1.9,2.5,1,0.1,0.1,0.3,0.8,2.9
425,Lonnie Walker IV,SG,24,LAL,11,11,31.1,6.2,13.1,0.472,1.8,5.1,0.357,4.4,8,0.545,0.542,2.4,2.9,0.813,0.5,2,2.5,1.7,1.1,0.6,1.1,2.1,16.5
426,John Wall,PG,32,LAC,11,0,22.9,5,11.3,0.444,0.9,3.6,0.25,4.1,7.6,0.536,0.484,2.1,3.5,0.59,0.4,2.3,2.6,5,1.1,0.3,1.6,1.9,13
427,Duane Washington Jr.,SG,22,PHO,6,0,6,2,4.8,0.414,1,2.7,0.375,1,2.2,0.462,0.517,0,0,,0,0,0,0.8,0,0,0.3,0.2,5
428,P.J. Washington,PF,24,CHO,15,15,31.5,5.5,13,0.426,1.6,5,0.32,3.9,8,0.492,0.487,1.9,2.4,0.778,1.3,3.3,4.5,1.7,0.6,1.1,1.7,2.8,14.5
429,TyTy Washington Jr.,PG,21,HOU,1,0,4,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,0,0,0,0,0,1
430,Yuta Watanabe,SF,28,BRK,12,0,16.8,2.6,4.4,0.585,1.3,2.4,0.517,1.3,2,0.667,0.726,0.1,0.3,0.333,0.7,1.9,2.6,0.7,0.3,0.6,0.3,1.1,6.5
431,Lindy Waters III,SG,25,OKC,2,0,8,0.5,3,0.167,0.5,3,0.167,0,0,,0.25,0,0,,0.5,0.5,1,0,0,0,0,0,1.5
432,Trendon Watford,PF,22,POR,6,0,17.2,1.7,3.5,0.476,0,0.7,0,1.7,2.8,0.588,0.476,1.5,1.7,0.9,0.5,2.5,3,2.3,1,0,1.3,2.5,4.8
433,Peyton Watson,SG,20,DEN,4,0,2.3,0.8,1.8,0.429,0,0,,0.8,1.8,0.429,0.429,0,0,,0.5,0.3,0.8,0,0,0,0,0.3,1.5
434,Blake Wesley,SG,19,SAS,2,0,11.5,3,4.5,0.667,1,1.5,0.667,2,3,0.667,0.778,1,2,0.5,0.5,0.5,1,2,0,0,1,1.5,8
435,Russell Westbrook,PG,34,LAL,12,3,29.3,5.7,13.8,0.412,1.5,4.4,0.34,4.2,9.3,0.446,0.467,3.5,4.3,0.808,1.2,4.3,5.5,7.2,1.2,0.4,3.8,2.7,16.3
436,Coby White,PG,22,CHI,7,0,21.9,3,7.9,0.382,1.4,4.9,0.294,1.6,3,0.524,0.473,0.7,1.3,0.556,0.1,1.6,1.7,1.7,0.7,0,0.9,2,8.1
437,Derrick White,SG,28,BOS,14,10,25.6,3,7,0.429,1.4,3.6,0.4,1.6,3.4,0.458,0.531,1.5,1.7,0.875,0.6,2.6,3.2,3.1,0.7,0.9,0.6,2.9,8.9
438,Jack White,SF,25,DEN,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0.5,0,0,0,0
439,Aaron Wiggins,SG,24,OKC,11,4,20.7,2.1,4.9,0.426,0.6,1.8,0.35,1.5,3.1,0.471,0.491,1,1.3,0.786,0.8,3.2,4,1.9,0.5,0.4,0.8,1.7,5.8
440,Andrew Wiggins,SF,27,GSW,13,13,33.4,7.1,14.4,0.492,2.4,6.2,0.388,4.7,8.2,0.57,0.575,1.8,2.4,0.742,1.6,4.2,5.8,2.4,1.4,1,1.3,2.8,18.3
441,Grant Williams,PF,24,BOS,13,5,28.2,3.2,5.4,0.586,1.6,3.3,0.488,1.5,2.1,0.741,0.736,1.4,1.7,0.818,0.8,4.2,5,1.8,0.7,0.6,0.7,2.6,9.3
442,Jalen Williams,SG,21,OKC,10,3,22.8,3.7,6.7,0.552,0.5,2.1,0.238,3.2,4.6,0.696,0.59,0.5,0.6,0.833,0.3,2.2,2.5,2.4,0.9,0.4,1.3,2.6,8.4
443,Jaylin Williams,PF,20,OKC,3,0,7,1.3,3,0.444,0,0.7,0,1.3,2.3,0.571,0.444,0,0.3,0,1.7,1.7,3.3,0.7,0.3,0,0,1,2.7
444,Kenrich Williams,PF,28,OKC,13,2,20.5,2.5,5.2,0.485,0.5,1.8,0.304,2,3.5,0.578,0.537,0.2,0.7,0.333,1.8,2.2,4.1,1.7,0.7,0.2,0.3,1.8,5.8
445,Mark Williams,C,21,CHO,3,0,4.3,1.3,2.3,0.571,0,0,,1.3,2.3,0.571,0.571,1,1,1,1.3,1.3,2.7,0,0,0,0.7,1,3.7
446,Patrick Williams,PF,21,CHI,14,14,25.1,3.6,7.9,0.464,1.1,2.9,0.375,2.6,5,0.514,0.532,0.9,1,0.929,1.2,2.5,3.7,0.8,0.8,1.1,1.5,1.9,9.3
447,Vince Williams Jr.,SG,22,MEM,3,0,6,0.3,2,0.167,0,1.7,0,0.3,0.3,1,0.167,0,0,,0.3,0.7,1,0.7,0.7,0.3,0,1.3,0.7
448,Zion Williamson,PF,22,NOP,11,11,32.2,9,15.9,0.566,0.3,0.5,0.5,8.7,15.4,0.568,0.574,5.3,7.4,0.716,2.1,4.3,6.4,3.9,1.1,0.3,2.7,2.7,23.5
449,Justise Winslow,SF,26,POR,11,4,26.6,3.2,8.1,0.393,0.5,1.8,0.25,2.7,6.3,0.435,0.421,1.1,1.6,0.667,1.7,3.1,4.8,3.5,1.3,0.5,1.3,2.5,7.9
450,James Wiseman,C,21,GSW,11,0,13.4,2.7,4.6,0.588,0,0,,2.7,4.6,0.588,0.588,1.4,2.1,0.652,1,2.8,3.8,1,0.1,0.4,0.7,2.4,6.8
451,Christian Wood,PF,27,DAL,11,0,24.6,5.8,9.9,0.587,1.4,3,0.455,4.5,6.9,0.645,0.656,2.8,4.4,0.646,1.2,6.3,7.5,0.7,0.5,0.5,2.5,2.7,15.8
452,Delon Wright,PG,30,WAS,4,0,22.8,2.5,6,0.417,0.8,3,0.25,1.8,3,0.583,0.479,0.8,1.3,0.6,1,1.5,2.5,3.3,2.8,1,1,1.3,6.5
453,McKinley Wright IV,PG,24,DAL,1,0,5,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,1,1,2,2,1,0,0,0,2
454,Thaddeus Young,PF,34,TOR,12,2,13.8,1.4,3,0.472,0.1,0.8,0.111,1.3,2.3,0.593,0.486,0.7,0.8,0.8,1.4,1.6,3,1.4,1,0.2,0.5,1.3,3.6
455,Trae Young,PG,24,ATL,13,13,35.1,8.5,22.4,0.378,2.3,7.5,0.309,6.2,14.9,0.412,0.43,7.7,8.5,0.909,0.8,2.3,3.2,9.3,0.8,0.2,3.6,1.3,26.9
456,Ivica Zubac,C,25,LAC,15,15,30.5,3.9,6.6,0.596,0,0.1,0,3.9,6.5,0.602,0.596,2.1,3.3,0.64,2.7,7.9,10.6,1.5,0.5,2.1,2.1,2.9,10